epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.782,2.7911,3.93177,2.15926,0.00514,0.04804,0.00282,0.00071,2.47265,3.6586,1.74735,8.335e-05,8.335e-05,8.335e-05
2,20.8995,2.58101,3.67431,1.81528,0.01852,0.16659,0.02316,0.00687,2.41899,3.56478,1.62682,0.000177319,0.000177319,0.000177319
3,29.1925,2.46112,3.29094,1.67271,0.02359,0.20644,0.03335,0.00795,2.25086,3.49772,1.57183,0.000264686,0.000264686,0.000264686
4,38.1528,2.33957,2.80111,1.50359,0.04005,0.3438,0.07367,0.01844,2.16388,3.30001,1.48955,0.000345452,0.000345452,0.000345452
5,50.3352,2.23611,2.44613,1.46088,0.06208,0.56313,0.22261,0.08521,2.17966,3.0425,1.43804,0.000419617,0.000419617,0.000419617
6,64.5499,2.23832,2.22004,1.37095,0.51841,0.20375,0.24079,0.10663,2.16052,3.02306,1.48507,0.000487181,0.000487181,0.000487181
7,78.857,2.12271,2.06299,1.32921,0.59944,0.10562,0.16135,0.07453,2.2563,3.37434,1.66981,0.000548143,0.000548143,0.000548143
8,97.0911,2.10703,1.91602,1.31932,0.54495,0.13376,0.18459,0.08101,2.23458,3.28826,1.63184,0.000602504,0.000602504,0.000602504
9,117.593,2.07235,1.77034,1.32237,0.46478,0.14447,0.17346,0.06844,2.30357,3.32891,1.68522,0.000650263,0.000650263,0.000650263
10,138.845,2.03814,1.7414,1.33233,0.49475,0.35941,0.35623,0.15808,2.1369,2.44048,1.42298,0.000691422,0.000691422,0.000691422
11,159.917,2.04532,1.74856,1.35215,0.51333,0.36615,0.35813,0.15333,2.16343,2.38834,1.43481,0.000725979,0.000725979,0.000725979
12,182.452,1.99303,1.67532,1.33172,0.52021,0.33095,0.32078,0.1274,2.26661,2.56552,1.53828,0.000753934,0.000753934,0.000753934
13,204.053,2.13151,1.66462,1.36201,0.59471,0.3594,0.37376,0.15395,2.19245,2.26413,1.46271,0.000775288,0.000775288,0.000775288
14,226.623,2.04423,1.67516,1.35133,0.61018,0.43194,0.44966,0.21715,1.91676,1.78117,1.30782,0.000790041,0.000790041,0.000790041
15,243.207,1.92426,1.62334,1.29081,0.6244,0.5589,0.58096,0.27491,1.91676,1.78117,1.30782,0.000798193,0.000798193,0.000798193
16,268.738,1.91965,1.55212,1.26764,0.58056,0.30429,0.32817,0.16299,1.85426,1.6688,1.28201,0.000799743,0.000799743,0.000799743
17,295.352,1.94098,1.56781,1.30281,0.5412,0.2934,0.3035,0.14668,1.84918,1.64792,1.27648,0.000786824,0.000786824,0.000786824
18,319.44,1.85449,1.49829,1.24488,0.53367,0.30182,0.29852,0.14932,1.82225,1.65456,1.26999,0.000731813,0.000731813,0.000731813
19,342.735,1.86506,1.4977,1.25182,0.58656,0.57413,0.55132,0.25913,1.82225,1.65456,1.26999,0.000676802,0.000676802,0.000676802
20,368.347,1.81617,1.44695,1.27319,0.54793,0.31093,0.31747,0.16263,1.78198,1.5375,1.26663,0.000621791,0.000621791,0.000621791
21,398.497,1.88182,1.76547,1.34006,0.52688,0.28104,0.28353,0.14456,1.765,1.45256,1.27315,0.00056678,0.00056678,0.00056678
22,427.56,1.82613,1.74373,1.30063,0.55714,0.30583,0.30167,0.15128,1.78937,1.44844,1.29925,0.000511769,0.000511769,0.000511769
23,452.795,1.80821,1.616,1.29244,0.65396,0.61429,0.60559,0.28866,1.78937,1.44844,1.29925,0.000456758,0.000456758,0.000456758
24,479.676,1.80496,1.58216,1.27887,0.54936,0.27734,0.27901,0.14095,1.77798,1.45669,1.30668,0.000401747,0.000401747,0.000401747
25,509.764,1.82741,1.60964,1.26338,0.56961,0.30556,0.3112,0.15687,1.71871,1.4631,1.28515,0.000346736,0.000346736,0.000346736
26,537.867,1.71534,1.56123,1.26538,0.60486,0.28538,0.30518,0.15816,1.68297,1.43962,1.26723,0.000291725,0.000291725,0.000291725
27,562.933,1.76104,1.58259,1.25453,0.68678,0.56819,0.57787,0.29178,1.68297,1.43962,1.26723,0.000236714,0.000236714,0.000236714
28,588.234,1.73849,1.53082,1.23406,0.62193,0.30203,0.32505,0.17042,1.67151,1.40314,1.25598,0.000181703,0.000181703,0.000181703
29,615.769,1.73614,1.52067,1.25383,0.60617,0.3113,0.32866,0.17588,1.66302,1.37752,1.24645,0.000126692,0.000126692,0.000126692
