epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7833,2.8275,3.97193,2.2124,0.00421,0.0378,0.00227,0.00063,2.51922,3.73451,1.87409,3.334e-05,3.334e-05,3.334e-05
2,59.4061,2.7604,3.90805,2.05375,0.00553,0.05051,0.00305,0.00079,2.47389,3.65265,1.73758,7.78489e-05,7.78489e-05,7.78489e-05
3,68.2359,2.58957,3.70293,1.89328,0.01227,0.11036,0.01019,0.00283,2.39231,3.60507,1.6438,0.000115756,0.000115756,0.000115756
4,77.0853,2.44567,3.47435,1.68771,0.02426,0.19361,0.02705,0.00698,2.31241,3.58878,1.61812,0.000147063,0.000147063,0.000147063
5,85.8654,2.32702,3.10673,1.5945,0.03645,0.301,0.05424,0.0154,2.21386,3.49035,1.55249,0.000171768,0.000171768,0.000171768
6,93.7126,2.29536,2.59117,1.45632,0.05106,0.42951,0.11481,0.03502,2.18548,3.33794,1.48519,0.000189871,0.000189871,0.000189871
7,101.499,2.32717,2.4077,1.41195,0.06051,0.52947,0.18976,0.0732,2.13289,3.17025,1.42627,0.000201374,0.000201374,0.000201374
8,110.153,2.22782,2.23445,1.39539,0.06431,0.5723,0.23715,0.09643,2.15058,3.11043,1.43406,0.000206275,0.000206275,0.000206275
9,122.293,2.1911,2.18741,1.3707,0.06328,0.5708,0.27268,0.11721,2.15506,3.01169,1.42951,0.000204574,0.000204574,0.000204574
10,134.923,2.10759,2.04767,1.3338,0.06565,0.59282,0.28266,0.12642,2.12464,2.95856,1.40703,0.000196273,0.000196273,0.000196273
11,149.18,2.05353,1.98476,1.32729,0.05899,0.48057,0.24946,0.11567,2.22522,3.00059,1.50143,0.00018137,0.00018137,0.00018137
12,163.547,2.07631,1.93632,1.32992,0.05725,0.45581,0.23617,0.11007,2.26513,3.01424,1.54123,0.000159865,0.000159865,0.000159865
13,180.796,2.06224,1.88102,1.31974,0.07015,0.35685,0.19481,0.09369,2.10311,2.82597,1.41117,0.00013176,0.00013176,0.00013176
14,198.005,2.02569,1.85276,1.31111,0.07706,0.47666,0.25745,0.12456,2.00393,2.69179,1.32927,9.70527e-05,9.70527e-05,9.70527e-05
15,214.205,1.97406,1.80054,1.31092,0.1446,0.35058,0.21975,0.11015,1.94021,2.55133,1.2783,5.57445e-05,5.57445e-05,5.57445e-05
